from_zone,to_zone
2,132
3,51
3,184
3,242
3,254
4,79
4,148
4,224
6,115
6,118
7,179
7,207
9,73
9,98
9,121
9,192
10,219
11,14
12,13
13,12
14,11
14,227
16,171
17,49
17,61
17,217
18,20
18,94
18,136
18,174
18,241
19,175
20,18
20,47
20,78
20,94
20,174
21,22
21,26
21,123
21,178
22,21
22,26
22,67
23,187
23,251
24,41
24,43
24,151
25,33
25,40
25,52
25,65
25,106
25,181
26,21
26,22
26,67
26,89
26,111
26,133
26,178
28,93
28,131
28,135
28,197
29,108
29,150
31,174
31,185
31,240
31,254
33,25
33,52
33,54
33,66
34,49
34,217
34,256
35,72
35,77
36,96
37,63
37,225
38,205
39,72
39,91
39,155
39,222
40,25
40,52
40,54
40,106
40,228
41,24
41,42
41,43
41,75
41,152
42,41
42,152
42,166
43,24
43,41
43,151
43,163
43,237
43,238
44,99
45,144
45,148
45,232
47,20
47,69
47,94
47,167
48,68
48,100
48,142
48,143
48,163
49,17
49,34
49,61
49,189
49,217
50,142
50,143
51,3
52,25
52,33
52,40
52,54
53,138
54,33
54,40
54,52
56,56
56,95
56,173
56,196
56,56
56,93
56,173
58,208
60,212
60,213
60,242
61,17
61,49
61,62
61,177
61,189
61,225
62,61
62,72
62,188
62,189
62,190
63,37
63,124
63,177
63,180
65,25
66,33
66,97
67,22
67,26
67,227
68,48
68,100
68,158
68,249
69,47
69,159
69,167
69,168
69,169
70,93
70,129
71,89
71,91
71,188
72,35
72,39
72,62
72,76
72,91
72,188
73,9
73,92
73,171
74,75
75,41
75,74
75,262
75,263
76,72
76,177
77,35
78,20
79,4
79,107
79,114
79,148
79,224
79,232
79,234
80,157
80,198
80,255
81,254
82,129
82,157
82,160
82,173
82,196
83,129
83,157
84,118
85,188
87,88
87,209
88,87
88,261
89,26
89,71
89,91
89,133
89,165
89,178
89,188
90,113
90,186
90,249
91,39
91,71
91,72
91,89
91,149
91,165
92,73
92,171
92,252
92,253
93,28
93,56
93,70
93,173
93,192
94,18
94,20
94,47
94,169
94,235
95,56
95,102
95,134
96,36
96,197
96,258
97,66
97,189
98,9
98,191
98,192
99,44
99,109
100,48
100,68
100,161
100,164
100,186
100,230
102,95
102,196
102,198
106,25
106,40
106,181
106,195
107,79
107,113
107,137
107,164
107,170
107,224
107,234
108,29
109,99
109,110
110,109
111,26
111,227
111,257
113,90
113,107
113,114
113,234
113,249
114,79
114,113
114,144
114,211
114,249
115,6
115,118
115,251
118,6
118,84
118,115
118,251
120,127
120,244
121,9
121,131
122,205
123,21
123,165
123,178
123,210
124,63
124,216
125,231
125,249
126,147
126,167
126,168
126,212
127,120
128,220
129,70
129,82
129,83
129,173
130,134
130,216
131,28
131,121
131,175
131,191
132,2
132,203
133,26
133,89
134,95
134,130
134,197
135,28
136,18
136,153
137,107
137,170
137,224
137,233
138,53
138,199
139,203
139,218
140,229
140,262
140,263
141,162
141,236
141,237
141,262
141,263
142,48
142,50
142,163
142,239
143,48
143,50
144,45
144,114
144,148
144,211
145,146
145,193
146,145
146,226
147,126
147,159
147,168
148,4
148,45
148,79
148,144
149,91
149,154
149,155
149,165
149,210
150,29
150,154
151,24
151,43
152,41
152,42
153,136
153,220
154,149
154,150
155,39
155,149
157,80
157,82
157,83
157,160
157,260
158,68
158,246
159,69
159,147
160,82
160,157
160,196
161,100
161,162
161,163
161,164
161,170
162,141
162,161
162,163
162,170
162,229
162,237
163,43
163,48
163,142
163,161
163,162
163,230
163,237
164,100
164,107
164,161
164,170
164,186
164,230
165,89
165,91
165,123
165,149
165,178
166,42
167,47
167,69
167,126
168,69
168,126
168,147
168,247
169,69
169,94
169,235
170,107
170,137
170,161
170,162
170,164
170,234
171,16
171,73
171,92
171,252
173,56
173,56
173,82
173,93
173,129
174,18
174,20
174,31
175,19
175,131
175,191
177,61
177,63
177,76
177,225
178,21
178,26
178,89
178,123
178,165
179,7
179,223
180,63
180,197
180,216
180,258
181,25
181,106
182,212
182,242
182,248
184,3
184,208
185,31
186,90
186,100
186,164
187,23
188,62
188,71
188,72
188,85
188,89
188,190
189,49
189,61
189,62
189,97
189,190
190,62
190,188
190,189
191,98
191,131
191,175
191,205
192,9
192,93
192,98
193,145
195,106
195,228
196,56
196,82
196,102
196,160
197,28
197,96
197,134
197,180
197,215
197,216
198,80
198,102
199,138
203,132
203,139
205,38
205,122
205,191
205,215
205,218
207,7
207,223
208,58
208,184
208,250
209,87
209,231
209,261
210,123
210,149
211,114
211,144
211,231
212,60
212,126
212,182
212,213
212,248
213,60
213,212
215,197
215,205
216,124
216,130
216,180
216,197
216,219
217,17
217,34
217,49
217,256
218,139
218,205
219,10
219,216
220,128
220,153
220,240
221,245
222,39
223,179
223,207
224,4
224,79
224,107
224,137
225,37
225,61
225,177
226,146
227,14
227,67
227,111
228,40
228,195
228,257
229,140
229,162
229,237
230,100
230,163
230,164
231,125
231,209
231,211
231,261
232,45
232,79
233,137
234,79
234,107
234,113
234,170
234,249
235,94
235,169
235,247
236,141
236,237
236,263
237,43
237,141
237,162
237,163
237,229
237,236
238,43
238,239
239,142
239,238
240,31
240,220
241,18
242,3
242,60
242,182
244,120
245,221
246,158
247,168
247,235
248,182
248,212
249,68
249,90
249,113
249,114
249,125
249,234
250,208
251,23
251,115
251,118
252,92
252,171
253,92
254,3
254,31
254,81
254,259
255,80
255,256
256,34
256,217
256,255
257,111
257,228
258,96
258,180
259,254
260,157
261,88
261,209
261,231
262,75
262,140
262,141
262,263
263,75
263,140
263,141
263,236
263,262
